,post_number,subject,username,date
72,73,Friday was a great day and I think,PENNYPRINCE 1,2009-07-28
73,74,Thanks so much for the info.  I,ShaunnaTVL,2009-07-28
74,75,Good Luck I just added to at .025,PENNYPRINCE 1,2009-07-28
75,76,SFRX ~ annotated chart per request.,EDWARD STEVENSON,2009-07-28
76,77,Nice maybe we can track those lones and,PENNYPRINCE 1,2009-07-28
77,78,I added a little at .025,PENNYPRINCE 1,2009-07-29
78,79,I added at .022 and hopefully I can,PENNYPRINCE 1,2009-07-30
79,80,I added at .021,PENNYPRINCE 1,2009-07-31
80,81,James a question. How much does it cost,Huntewr7,2009-08-03
81,82,5 dollars and less on Bank of A.,PENNYPRINCE 1,2009-08-03
82,83,You might want to get some of this.,PENNYPRINCE 1,2009-08-03
83,84,I am at Etrade at under 10. Live,Huntewr7,2009-08-03
84,85,IMO a great move and how is Singapore,PENNYPRINCE 1,2009-08-03
85,86,"Morning, just joined up .... where is the",pmunch,2009-08-03
86,87,Lets hope above water soon but off the,PENNYPRINCE 1,2009-08-03
87,88,I think my order for .026 just went,PENNYPRINCE 1,2009-08-03
88,89,Nice move,pmunch,2009-08-03
89,90,ty,PENNYPRINCE 1,2009-08-03
90,91,Not a bad day and maybe we are,PENNYPRINCE 1,2009-08-03
91,92,9.99 at Etrade. Singapore is great as it,Huntewr7,2009-08-03
92,93,So did you get some  SFRX?,PENNYPRINCE 1,2009-08-03
93,94,Not yet as the money will clear on,Huntewr7,2009-08-03
94,95,Thanks for the info on SFRX. Live about,Huntewr7,2009-08-04
95,96,Well I have a condo in Naples and,PENNYPRINCE 1,2009-08-04
96,97,I like shiny treasure and I hope we,pmunch,2009-08-04
97,98,You and me both and it would make,PENNYPRINCE 1,2009-08-04
98,99,I added 30 at .0299,PENNYPRINCE 1,2009-08-04
99,100,Added a bunch last two days ~Rig,RIGATONI,2009-08-04
100,101,Aaargh Matey ... Treasure ahead !!!,pmunch,2009-08-04
101,102,"Nice close  even with a little ,",PENNYPRINCE 1,2009-08-04
102,103,I added at .037 and bidding .033,PENNYPRINCE 1,2009-08-05
103,104,I added a little at .035,PENNYPRINCE 1,2009-08-06
104,105,looks to me like it could test the,MUSHROOMKING,2009-08-06
105,106,Looks like good BID support to me and,Leigh01,2009-08-06
106,107,I bet you miss it ~Rig,RIGATONI,2009-08-06
107,108,Funniest thing I have ever read - thanks,Walker,2009-08-06
108,109,I think he just posted on the wrong board.,Rover_az,2009-08-06
109,110,"Aaaargh, we have the MAP ... Treasure lie ahead",pmunch,2009-08-06
110,111,you will miss it,PENNYPRINCE 1,2009-08-06
111,112,Multiply by 3 and you got it !!!!,pmunch,2009-08-06
112,113,I agree this could be the only place,PENNYPRINCE 1,2009-08-06
113,114,"Evening guys.  Doing some reading, came accross",andre1234,2009-08-06
114,115,"Sounds good, check it out",pmunch,2009-08-06
115,116,Can someone provide me a direct link to,dieanotherday,2009-08-07
116,117,Great welcome and are you near the office,PENNYPRINCE 1,2009-08-07
117,118,The web site is being re done and,PENNYPRINCE 1,2009-08-07
118,119,Thanks,dieanotherday,2009-08-07
119,120,Where's the vessel located? I only saw the,andre1234,2009-08-07
120,121,This one is looking good today. Will be,andre1234,2009-08-07
121,122,.041 - looking great - buying volume says,Walker,2009-08-07
122,123,"Agreed, timing looks good.",andre1234,2009-08-07
123,124,someone trying to hold us back with weak,pmunch,2009-08-07
124,125,I see - time to add more I guess,Walker,2009-08-07
125,126,I will be adding today too trying to,PENNYPRINCE 1,2009-08-07
126,127,"FWIW, checked out the address listed. Nice building,very",andre1234,2009-08-07
127,128,You have the wrong address - this is it:,Walker,2009-08-07
128,129,You may want to transfer your shares my,pmunch,2009-08-07
129,130,Looks like he went to the address in,Walker,2009-08-07
130,131,Arrrgh ... sleepin on the iBox job ? Blasphemy,pmunch,2009-08-07
131,132,you're right. sorry.,andre1234,2009-08-07
132,133,I don't have any yet. I'm still looking.,andre1234,2009-08-07
133,134,"not much room left onboard mate, next week",pmunch,2009-08-07
134,135,This is not my first rodeo.  I'll,andre1234,2009-08-07
135,136,A nice week maybe we can break out,PENNYPRINCE 1,2009-08-07
136,137,Maybe we should get some more info in,pmunch,2009-08-10
137,138,I was out all day and I wish,PENNYPRINCE 1,2009-08-10
138,139,<DELETED>,<DELETED>,2009-08-10
139,140,this is sad walk it done  on,copytech,2009-08-11
140,141,I bought,pmunch,2009-08-11
141,142,I added a bunch ~Rig,RIGATONI,2009-08-11
142,143,Yes and shatke out weak hands but thankk,PENNYPRINCE 1,2009-08-11
143,144,Looks a lot of us added and I,PENNYPRINCE 1,2009-08-11
144,145,"Arggh , there be TREASURE down there !!!",pmunch,2009-08-11
145,146,You know how  I feel,PENNYPRINCE 1,2009-08-11
146,147,I bought some of this treasure~,SPARK,2009-08-11
147,148,1.6 million volume,pmunch,2009-08-11
148,149,Wecome and lets hope we break out next,PENNYPRINCE 1,2009-08-11
149,150,Thanks...Well from all the nice things I've heard..me,SPARK,2009-08-11
150,151,They be in strong hands now matey !!,pmunch,2009-08-11
151,152,Holding strong and adding on weakness.,PENNYPRINCE 1,2009-08-11
152,153,"Hey Spark,",dieanotherday,2009-08-11
153,154,<DELETED>,<DELETED>,2009-08-11
154,155,TREASURE !!!,pmunch,2009-08-12
155,156,did'nt know priates could spell,MUSHROOMKING,2009-08-12
156,157,Ghost Ship Movie -we may have a famous,pmunch,2009-08-12
157,158,treasure forum,pmunch,2009-08-12
158,159,<DELETED>,<DELETED>,2009-08-12
159,160,good site thanks I'am still not sold on,MUSHROOMKING,2009-08-12
160,161,"DD: Seems the website is up, yet is",pmunch,2009-08-12
161,162,Holy crap...another monsta~,SPARK,2009-08-12
162,163,Thanks and now lets get some NEWS,PENNYPRINCE 1,2009-08-12
163,164,I sure hope so.,PENNYPRINCE 1,2009-08-12
164,165,IMO BUY BOTH,PENNYPRINCE 1,2009-08-12
165,166,Doesn't seem like they are  out there,RIGATONI,2009-08-12
166,167,Nice find should be on web site. Email,PENNYPRINCE 1,2009-08-12
167,168,Nice find pmunch! ~Rig,RIGATONI,2009-08-12
168,169,DD on the background of SFRX and old,pmunch,2009-08-12
169,170,THE TREASURE FLEET OF 1715 ,pmunch,2009-08-12
170,171,Excellent - They have MUCH more then I,Walker,2009-08-12
171,172,Famous Treasure salvage boat we be usin mates,pmunch,2009-08-12
172,173,"Argghghhh, TREASURE below !!!!",pmunch,2009-08-12
173,174,<DELETED>,<DELETED>,2009-08-12
174,175,<DELETED>,<DELETED>,2009-08-12
175,176,Outstanding Shares,pmunch,2009-08-12
176,177,<DELETED>,<DELETED>,2009-08-12
177,178,<DELETED>,<DELETED>,2009-08-12
178,179,Mel Fisher is a legend...,RIGATONI,2009-08-12
179,180,found it--sometimes I speed read too quickly!,JUST 10-11-12,2009-08-12
180,181,Note that most investors in 2007 and 2008,pmunch,2009-08-12
181,182,<DELETED>,<DELETED>,2009-08-12
182,183,"Virgalona 60 foot Salvage boat, infamous",pmunch,2009-08-12
183,184,<DELETED>,<DELETED>,2009-08-12
184,185,<DELETED>,<DELETED>,2009-08-12
185,186,Great job on the i-box - this company,Walker,2009-08-13
186,187,Wow you guys have been busy. Nice Ibox,PENNYPRINCE 1,2009-08-13
187,188,"Hi Pmunch, Great DD. Tks for updating the",Leigh01,2009-08-13
188,189,looking to buy today I'll put in ,MUSHROOMKING,2009-08-13
189,190,<DELETED>,<DELETED>,2009-08-13
190,191,"Thanks guys, can anyone get this link to",pmunch,2009-08-13
191,192,Thanks for the hard work and DD.,dieanotherday,2009-08-13
192,193,Here's the link...,Leigh01,2009-08-13
193,194,Seafarer Finds Additional Artifacts,Leigh01,2009-08-13
194,195,http://www.bwvkw.com/Operations/1715Operations.aspx,startingboy,2009-08-13
195,196,Hey Leigh..good to cya here~,SPARK,2009-08-13
196,197,"Hi Spark, This one is looking really good.",Leigh01,2009-08-13
197,198,You never know what treasure lies in those,pmunch,2009-08-13
198,199,I think I added a little .029 I,PENNYPRINCE 1,2009-08-13
199,200,I just got a patial fill at .029,Step-by-Step,2009-08-13
200,201,I mean partial fill,Step-by-Step,2009-08-13
201,202,Great I have been bidding there too and,PENNYPRINCE 1,2009-08-13
202,203,Now's the time to accumulate..once the PR's start,SPARK,2009-08-13
203,204,I cannot get filled at the ask... these,OilCan61,2009-08-13
204,205,I didnt get all mine either but I,PENNYPRINCE 1,2009-08-13
205,206,I will be back at it myself tomorrow...,OilCan61,2009-08-13
206,207,If we can gain a more volume and,PENNYPRINCE 1,2009-08-13
207,208,Id rather get news that our divers have,OilCan61,2009-08-13
208,209,LOL Well maybe a golden cross a gold,PENNYPRINCE 1,2009-08-13
209,210,I got all mine at .029  ,Step-by-Step,2009-08-13
210,211,Well nice cost basis I purchased as high,PENNYPRINCE 1,2009-08-13
211,212,lookin'forward to it...............,Step-by-Step,2009-08-13
212,213,I'm new on this board. I spoke at,capted,2009-08-13
213,214,Thanks for making the effort and sharing..Can ya,SPARK,2009-08-13
214,215,"SPARK, The first thing that impressed me is",capted,2009-08-13
215,216,Nice one..thanks~,SPARK,2009-08-13
216,217,Welcome ABOARD! I like and respect Kyle too,PENNYPRINCE 1,2009-08-13
217,218,"James44ct, Right now. I only think 2 treasure",capted,2009-08-13
218,219,I agree and hopefully everyone here knows that.,PENNYPRINCE 1,2009-08-13
219,220,Bidding .029,PENNYPRINCE 1,2009-08-14
220,221,GOLD COIN TREASURE .mmm,pmunch,2009-08-14
221,222,"Well I got a whole 10,000 maybe the",PENNYPRINCE 1,2009-08-14
222,223,"I will continue to add, looking to shift",pmunch,2009-08-14
223,224,I agree and I may have to buy,PENNYPRINCE 1,2009-08-14
224,225,Well not ready to but the ask on,PENNYPRINCE 1,2009-08-17
225,226,"There must be treasure below, movin up !!!",pmunch,2009-08-17
226,227,Yeah and now lets get the treasure UPwith,PENNYPRINCE 1,2009-08-17
227,228,They sold me some at .031,PENNYPRINCE 1,2009-08-17
228,229,"I think I got 100,000 checking in the morning.",PENNYPRINCE 1,2009-08-17
229,230,Quarterly Report will be available for filing on,pmunch,2009-08-17
230,231,The fact is that the Junobeach wreck was,saltydog1733,2009-08-18
231,232,What are they feeding the Virgalona...it keeps getting,saltydog1733,2009-08-18
232,233,Do you homework on the company and the,saltydog1733,2009-08-18
233,234,Those types of artifacts have been found on,saltydog1733,2009-08-18
234,235,Why is this old news being reposted? Is,saltydog1733,2009-08-18
235,236,Lets hope its in by wednesday.,PENNYPRINCE 1,2009-08-18
236,237,LOL - looks like the disgruntled seller is,Walker,2009-08-18
237,238,Good one he joined yesterday to warn us,PENNYPRINCE 1,2009-08-18
238,239,So amazingly obvious - lol - selling is over.,Walker,2009-08-18
239,240,I hope so and I plan on adding,PENNYPRINCE 1,2009-08-18
240,241,saltydog1733...welcome to IHUB.,RIGATONI,2009-08-18
241,242,I just added at .03,PENNYPRINCE 1,2009-08-18
242,243,Welcome aboard matey ... Did you work with,pmunch,2009-08-18
243,244,They are onto the deep site and have,pmunch,2009-08-18
244,245,"saltydog1733, thanks for the info. I am still",capted,2009-08-18
245,246,"ditto, huge",pmunch,2009-08-18
246,247,<DELETED>,<DELETED>,2009-08-18
247,248,Did you jus add?,PENNYPRINCE 1,2009-08-18
248,249,"FYI, the Oddysey stock went from 6 cents",pmunch,2009-08-18
249,250,"Yes, holding onto a large sachel of shares now",pmunch,2009-08-18
250,251,Bravo,PENNYPRINCE 1,2009-08-18
251,252,"The identity has never been determined, which is",saltydog1733,2009-08-18
252,253,Then maybe they ought to be looking on,saltydog1733,2009-08-18
253,254,I don't own any sfrx stock. My money,saltydog1733,2009-08-18
254,255,ty for your concern,PENNYPRINCE 1,2009-08-18
255,256,There are bits of the ship everywhere. There,saltydog1733,2009-08-18
256,257,<DELETED>,<DELETED>,2009-08-18
257,258,Well as you type the market ticks up,PENNYPRINCE 1,2009-08-18
258,259,Give the CEO a call and ask him,pmunch,2009-08-18
259,260,<DELETED>,<DELETED>,2009-08-18
260,261,Seek and you shall find !!!,pmunch,2009-08-18
261,262,Yep.  High risk at best.  I'll,andre1234,2009-08-18
262,263,<DELETED>,<DELETED>,2009-08-18
263,264,OK...I will take the risk...I'm in :) eom,stock43,2009-08-18
264,265,Do YOU know the ship's name? If someone,saltydog1733,2009-08-19
265,266,Let us in on the misinformation AND the,pmunch,2009-08-19
266,267,thanks saltydog for some insight from a driffernt,MUSHROOMKING,2009-08-19
267,268,<DELETED>,<DELETED>,2009-08-19
268,269,<DELETED>,<DELETED>,2009-08-19
269,270,<DELETED>,<DELETED>,2009-08-19
270,271,Seems like it in this case - guy,Walker,2009-08-19
271,272,Ahhh .. The Edmund Fitzgerald ? No ?,pmunch,2009-08-19
272,273,Marine Exploration Inc: Burt Webber,saltydog1733,2009-08-19
273,274,I'll take my chances with SFRX.,Leigh01,2009-08-19
274,275,Wow just got back from lunch that was,PENNYPRINCE 1,2009-08-19
275,276,I think I got 200,PENNYPRINCE 1,2009-08-19
276,277,"Blue Water Ventures: Keith Webb, we are working",pmunch,2009-08-19
277,278,http://en.wikipedia.org/wiki/Spanish_treasure_fleetSpain strictly controlled,pmunch,2009-08-19
278,279,How far offshore is this wreck?,andre1234,2009-08-19
279,280,<DELETED>,<DELETED>,2009-08-19
280,281,http://timelines.ws/countries/SPAIN_A.HTML1528       ,pmunch,2009-08-19
281,282,<DELETED>,<DELETED>,2009-08-19
282,283,<DELETED>,<DELETED>,2009-08-19
283,284,<DELETED>,<DELETED>,2009-08-19
284,285,You are still here?,Walker,2009-08-19
285,286,DD on timeline for Piracy -Arrrrgh -http://pirateshold.buccaneersoft.com/pirate_,pmunch,2009-08-19
286,287,I'm not checking out your wreck of a,andre1234,2009-08-19
287,288,You still can't stay away - kind of,Walker,2009-08-19
288,289,10Q filing just hit,Leigh01,2009-08-19
289,290,I believe our boat was made just before,PENNYPRINCE 1,2009-08-19
290,291,I believe less than 1 mile and in,PENNYPRINCE 1,2009-08-19
291,292,Nice time line.,PENNYPRINCE 1,2009-08-19
292,293,As I understand it the wreck could be,PENNYPRINCE 1,2009-08-19
293,294,If it performs like MEXP down the road,PENNYPRINCE 1,2009-08-19
294,295,That is great news - thx,Walker,2009-08-19
295,296,Maybe now we can get some news I,PENNYPRINCE 1,2009-08-19
296,297,Bet you are right - waiting for Q,Walker,2009-08-19
297,298,And MEXP has more shares outstanding.,Walker,2009-08-19
298,299,NOTE 7 – DIVISON OF ARTIFACTS,pmunch,2009-08-19
299,300,Well time will tell but any news should,PENNYPRINCE 1,2009-08-19
300,301,I know so we can see a move,PENNYPRINCE 1,2009-08-19
301,302,SFRX - first PR in 8 months ,Walker,2009-08-20
302,303,.031 x .033 now,Walker,2009-08-20
303,304,Well not impressive but a start. Maybe we,PENNYPRINCE 1,2009-08-20
304,305,Great that we got our first news in,Walker,2009-08-20
305,306,Thats nice after about a week of seeling,PENNYPRINCE 1,2009-08-20
306,307,I agree,PENNYPRINCE 1,2009-08-20
307,308,".035 now - Q is out, news about",Walker,2009-08-20
308,309,Is all good~,SPARK,2009-08-20
309,310,Very nice buys at .035 going through,Walker,2009-08-20
310,311,I just put in a bid,PENNYPRINCE 1,2009-08-20
311,312,It could be andre or washed up diver,pmunch,2009-08-20
312,313,added here today....,Max Power,2009-08-20
313,314,So did I at .031,PENNYPRINCE 1,2009-08-20
314,315,Bought some at .03 and bidding.,PENNYPRINCE 1,2009-08-21
315,316,I see still a little selling and NITE,PENNYPRINCE 1,2009-08-21
316,317,Am I the only one posting today??? IMO,PENNYPRINCE 1,2009-08-21
317,318,Not worried here..let dem do their thing the,SPARK,2009-08-21
318,319,After looking at the long term chart and,PENNYPRINCE 1,2009-08-21
319,320,hello........was the mexp rise precipitated by a specific,Step-by-Step,2009-08-22
320,321,it strikes me (and I'm completely ignorant about,Step-by-Step,2009-08-22
321,322,I WOULD,PENNYPRINCE 1,2009-08-22
322,323,IMO we have more than MEXP and thats,PENNYPRINCE 1,2009-08-22
323,324,appreciate your thoughts.........your enthusiam is infectious....,Step-by-Step,2009-08-22
324,325,Dont buy on my enthusiasm call the company,PENNYPRINCE 1,2009-08-23
325,326,A quiet day and I am bidding if,PENNYPRINCE 1,2009-08-24
326,327,Technology DD on the Sunken Treasure Ship,pmunch,2009-08-24
327,328,Great Post. It wasnt a great day but,PENNYPRINCE 1,2009-08-24
328,329,"http://www.answers.com/topic/galleon-4A galleon was a large, multi-decked",pmunch,2009-08-24
329,330,Another nice find and lets hope they FIND,PENNYPRINCE 1,2009-08-25
330,331,SOURCES OF INFORMATION,pmunch,2009-08-25
331,332,I have been on many of those ships,PENNYPRINCE 1,2009-08-25
332,333,Here is your ship name ... Pick one,pmunch,2009-08-25
333,334,WoWWWWW lets find them all. Kyle said he,PENNYPRINCE 1,2009-08-25
334,335,1528-1678 Listed Spanish wrecks off Florida - Notes,pmunch,2009-08-25
335,336,Dont tell me to find it tell Kyle,PENNYPRINCE 1,2009-08-25
336,337,Can we narrow it down any further ?,pmunch,2009-08-25
337,338,Builders Measure - Up till about 1873 the,pmunch,2009-08-25
338,339,I think they have to get a cannon,PENNYPRINCE 1,2009-08-25
339,340,I got more at .028 and just bid,PENNYPRINCE 1,2009-08-25
340,341,I added 250 and I cant believe we,PENNYPRINCE 1,2009-08-25
341,342,Once the fool who is selling is done ...,pmunch,2009-08-25
342,343,I agree and the best thing will be,PENNYPRINCE 1,2009-08-25
343,344,Once a gold coin or a valuable artifact,pmunch,2009-08-25
344,345,Lets hope it happens this summer and I,PENNYPRINCE 1,2009-08-25
345,346,"load up at these levels,,someone just wanted out",ChinaDude,2009-08-26
346,347,"Collecting treasure now, thanks to weak hands",pmunch,2009-08-26
347,348,Are you buying? I am bidding at .02,PENNYPRINCE 1,2009-08-26
348,349,I agree we just got a 1/2 price sale.,PENNYPRINCE 1,2009-08-26
349,350,if you get at .02 i think it,ChinaDude,2009-08-26
350,351,They ran from me ... not much down,pmunch,2009-08-26
351,352,Mine is almost that high about .032 and,PENNYPRINCE 1,2009-08-26
352,353,i get pick from rig board. pmunch i,ChinaDude,2009-08-26
353,354,<DELETED>,<DELETED>,2009-08-26
354,355,Just added .022,PENNYPRINCE 1,2009-08-26
355,356,Not a bad close and no crushing the,PENNYPRINCE 1,2009-08-26
356,357,I just home and am looking at my,Step-by-Step,2009-08-26
357,358,lucky you ... had to chase up myself,pmunch,2009-08-26
358,359,these shares been taking a dump on no,investorwisdom,2009-08-27
359,360,I am bidding .021,PENNYPRINCE 1,2009-08-27
360,361,Never got it and may try in the morning,PENNYPRINCE 1,2009-08-27
361,362,"i did'nt get my fills today either, try",MUSHROOMKING,2009-08-27
362,363,I hope to add tomorrow too and I,PENNYPRINCE 1,2009-08-27
363,364,<DELETED>,<DELETED>,2009-08-27
364,365,everything else i own is going up! I,investorwisdom,2009-08-28
365,366,I will be patient with this one...,investorwisdom,2009-08-28
366,367,I agree and maybe we can see ,PENNYPRINCE 1,2009-08-30
367,368,I'm surprised you haven't talked about the 8k filing,stock43,2009-08-30
368,369,explain it please for those of us that,investorwisdom,2009-08-30
369,370,I spoke with the CEO about it for,pmunch,2009-08-31
370,371,Ok..thanks,stock43,2009-08-31
371,372,"No problem, I had concern, but no longer",pmunch,2009-08-31
372,373,I agree and heard the same thing. I,PENNYPRINCE 1,2009-08-31
373,374,I added at .0235,PENNYPRINCE 1,2009-09-01
374,375,thank you for update. i would like to,ChinaDude,2009-09-02
375,376,I hear you even if he isnt the,PENNYPRINCE 1,2009-09-02
376,377,Seafarer Exploration Corp.  $  ,MUSHROOMKING,2009-09-02
377,378,Well I did buy 70k more shares today,stock43,2009-09-02
378,379,<DELETED>,<DELETED>,2009-09-02
379,380,<DELETED>,<DELETED>,2009-09-02
380,381,Announces Engagement of Investorsvoice.com and Williams-Schifino-Mangione & Stea,stock43,2009-09-03
381,382,Nice I hope to buy today and finally,PENNYPRINCE 1,2009-09-03
382,383,Hopefully this guy can start the engine and,PENNYPRINCE 1,2009-09-03
383,384,Pelle Ojasu,pmunch,2009-09-03
384,385,I am in for 40 more at .025,PENNYPRINCE 1,2009-09-03
385,386,Late 2008 Recent Sales of Unregistered Securities,pmunch,2009-09-03
386,387,I just added .026,PENNYPRINCE 1,2009-09-03
387,388,Well guys it looks like we are moving,PENNYPRINCE 1,2009-09-03
388,389,"Yes, nice buys coming in :) Happy I",stock43,2009-09-03
389,390,Well I added today at .026 but only,PENNYPRINCE 1,2009-09-03
390,391,Nice action here today~,SPARK,2009-09-03
391,392,I agree and nice for a change. Hopefully,PENNYPRINCE 1,2009-09-03
392,393,Nice close-hopefully we continue up,Loudude117,2009-09-03
393,394,Quiet so far this morning but at least,PENNYPRINCE 1,2009-09-04
394,395,Even qiueter this afternoon maybe next week we,PENNYPRINCE 1,2009-09-04
395,396,light today with 3 day weekend. ralley wed,MUSHROOMKING,2009-09-04
396,397,I agree and did get 30 at the,PENNYPRINCE 1,2009-09-05
397,398,Seafarer Exploration Corp. (OTCBB: SFRX) (the “Company” or,pmunch,2009-09-08
398,399,Thats a start. Now lets get a something,PENNYPRINCE 1,2009-09-08
399,400,Seafarer Exploration Forms Advisory Board,pmunch,2009-09-08
400,401,More meat and maybe I can buy more,PENNYPRINCE 1,2009-09-08
401,402,Sure...anything you can do is great,jaysereno,2009-09-08
402,403,Welcome back,pmunch,2009-09-08
403,404,I got 100 at .028 and I cant,PENNYPRINCE 1,2009-09-08
404,405,thx...lol,jaysereno,2009-09-08
405,406,Just added 75 at .027,PENNYPRINCE 1,2009-09-08
406,407,Nice scoop and big volume today !!!,pmunch,2009-09-08
407,408,I agree and may add eod at the,PENNYPRINCE 1,2009-09-08
408,409,Well they sure are shaking out the weak,PENNYPRINCE 1,2009-09-08
409,410,Picked up a bunch at .027,PENNYPRINCE 1,2009-09-10
410,411,Any Treasure down there> We need some pics !!!,pmunch,2009-09-11
411,412,Yes and a few coins wouldnt hurt either,PENNYPRINCE 1,2009-09-11
412,413,I added at .025 and .026,PENNYPRINCE 1,2009-09-11
413,414,"first, treasure has to exist on the wrecksite",saltydog1733,2009-09-15
414,415,"Argggg, shiver me timbers ... Treasure is down there",pmunch,2009-09-15
415,416,Ah another sfrx guy with absolutley no salvage,saltydog1733,2009-09-15
416,417,hahahaha.....good one,saltydog1733,2009-09-15
417,418,<DELETED>,<DELETED>,2009-09-15
418,419,other sites? like???? ,saltydog1733,2009-09-16
419,420,You sound like a disgruntled man who never,pmunch,2009-09-16
420,421,Bidding .022  and hope to add today,PENNYPRINCE 1,2009-09-16
421,422,Still bidding and took 50 at the ask .025,PENNYPRINCE 1,2009-09-16
422,423,Maybe we are turning up here the adx,PENNYPRINCE 1,2009-09-16
423,424,A little news this am,PENNYPRINCE 1,2009-09-17
424,425,<DELETED>,<DELETED>,2009-09-17
425,426,Seafarer Exploration Announces Purchase of Hand Held Magnetometer,pmunch,2009-09-17
